,new_deaths,n_infected
0,0.0,0.0
1,0.0,0.0
2,0.0,1.0
3,0.0,5.0
4,0.0,9.0
5,0.0,20.0
6,0.0,55.0
7,0.0,130.0
8,0.0,303.0
9,0.0,724.0
10,0.0,1677.0
11,0.0,3897.0
12,0.0,8935.0
13,0.0,20272.0
14,0.0,45169.0
15,0.0,97166.0
16,0.0,195044.0
17,0.0,347606.0
18,0.0,535112.0
19,1.0,711404.0
20,1.0,835103.0
21,5.0,897720.0
22,6.0,908106.0
23,7.0,877490.0
24,34.0,813876.0
25,43.0,728230.0
26,93.0,636802.0
27,139.0,557420.0
28,207.0,506419.0
29,274.0,490848.0
30,350.0,505735.0
31,431.0,540169.0
32,467.0,580664.0
33,581.0,617983.0
34,584.0,645492.0
35,621.0,657671.0
36,670.0,652804.0
37,626.0,632958.0
38,631.0,601892.0
39,619.0,564723.0
40,527.0,529095.0
41,572.0,499256.0
42,454.0,478069.0
43,420.0,464599.0
44,431.0,457102.0
45,418.0,445730.0
46,330.0,425508.0
47,342.0,399422.0
48,316.0,370081.0
49,315.0,339349.0
50,283.0,307284.0
51,263.0,277111.0
52,230.0,256074.0
53,214.0,247732.0
54,235.0,247828.0
55,232.0,254092.0
56,204.0,263865.0
57,171.0,276498.0
58,136.0,292288.0
59,173.0,315452.0
60,132.0,345008.0
61,131.0,375440.0
62,124.0,402469.0
63,127.0,425267.0
64,109.0,445340.0
65,101.0,461782.0
66,104.0,470697.0
67,108.0,471470.0
68,102.0,466196.0
69,105.0,457235.0
70,118.0,445335.0
71,119.0,432657.0
72,124.0,421897.0
73,107.0,416514.0
74,113.0,417081.0
75,121.0,421159.0
76,116.0,427446.0
77,108.0,434959.0
78,121.0,442084.0
79,146.0,448788.0
80,136.0,454321.0
81,127.0,458369.0
82,132.0,460100.0
83,128.0,459732.0
84,119.0,457565.0
85,125.0,454968.0
86,116.0,450845.0
87,117.0,443737.0
88,121.0,432666.0
89,127.0,419261.0
90,141.0,405893.0
91,126.0,393074.0
92,134.0,380158.0
93,143.0,370332.0
94,148.0,368365.0
95,129.0,375560.0
96,143.0,388347.0
97,144.0,402899.0
98,136.0,417571.0
99,145.0,432354.0
100,139.0,445341.0
101,139.0,455274.0
102,119.0,460907.0
103,137.0,462279.0
104,124.0,459957.0
105,95.0,455446.0
106,115.0,449447.0
107,114.0,443718.0
108,131.0,439270.0
109,114.0,437578.0
110,101.0,437524.0
111,120.0,437970.0
112,129.0,439219.0
113,110.0,439998.0
114,134.0,439694.0
115,129.0,432490.0
116,111.0,417371.0
117,107.0,396597.0
118,103.0,372454.0
119,139.0,348401.0
120,138.0,324464.0
121,132.0,302306.0
