,0
0,0.0
1,0.0
2,0.0
3,0.0
4,1.0
5,2.0
6,2.0
7,2.0
8,6.0
9,6.0
10,6.0
11,7.0
12,10.0
13,11.0
14,11.0
15,11.0
16,16.0
17,16.0
18,16.0
19,20.0
20,24.0
21,25.0
22,31.0
23,30.0
24,33.0
25,36.0
26,41.0
27,45.0
28,52.0
29,54.0
30,69.0
31,70.0
32,80.0
33,86.0
34,94.0
35,103.0
36,106.0
37,112.0
38,118.0
39,122.0
40,119.0
41,128.0
42,131.0
43,141.0
44,157.0
45,167.0
46,175.0
47,184.0
48,192.0
49,203.0
50,210.0
51,216.0
52,217.0
53,225.0
54,228.0
55,226.0
56,226.0
57,234.0
58,230.0
59,231.0
60,236.0
61,235.0
62,232.0
63,233.0
64,243.0
65,240.0
66,243.0
67,251.0
68,251.0
69,255.0
70,255.0
71,266.0
72,265.0
73,278.0
74,288.0
75,305.0
76,306.0
77,319.0
78,335.0
79,350.0
80,352.0
81,357.0
82,358.0
83,367.0
84,383.0
85,401.0
86,398.0
87,411.0
88,424.0
89,422.0
90,428.0
91,438.0
92,447.0
93,461.0
94,462.0
95,465.0
96,469.0
97,470.0
98,478.0
99,483.0
100,505.0
101,530.0
102,535.0
103,547.0
104,571.0
105,577.0
106,598.0
107,622.0
108,646.0
109,666.0
110,699.0
111,722.0
112,757.0
113,810.0
114,850.0
115,890.0
116,923.0
117,967.0
118,988.0
119,1020.0
120,1068.0
121,1102.0
122,1144.0
123,1195.0
124,1215.0
125,1260.0
126,1299.0
127,1309.0
128,1335.0
129,1364.0
130,1411.0
131,1465.0
132,1499.0
133,1553.0
134,1604.0
135,1644.0
136,1702.0
137,1749.0
138,1813.0
139,1873.0
140,1906.0
141,1942.0
142,1944.0
143,1993.0
144,2036.0
145,2061.0
146,2089.0
147,2140.0
148,2205.0
149,2231.0
150,2250.0
151,2260.0
152,2277.0
153,2301.0
154,2321.0
155,2348.0
156,2371.0
157,2379.0
158,2396.0
159,2368.0
160,2341.0
161,2330.0
162,2323.0
163,2324.0
164,2341.0
165,2365.0
166,2375.0
167,2383.0
168,2382.0
169,2403.0
170,2437.0
171,2442.0
172,2448.0
173,2476.0
174,2511.0
175,2521.0
176,2529.0
177,2544.0
178,2584.0
179,2635.0
180,2660.0
181,2730.0
182,2727.0
183,2761.0
184,2806.0
185,2848.0
186,2860.0
187,2874.0
188,2917.0
189,2955.0
190,3031.0
191,3062.0
192,3110.0
193,3170.0
194,3219.0
195,3277.0
196,3381.0
197,3483.0
198,3579.0
199,3639.0
200,3725.0
201,3797.0
202,3889.0
203,3996.0
204,4089.0
205,4182.0
206,4302.0
207,4360.0
208,4418.0
209,4533.0
210,4644.0
211,4760.0
212,4885.0
213,5010.0
214,5128.0
215,5201.0
216,5322.0
217,5393.0
218,5456.0
219,5556.0
220,5642.0
221,5740.0
222,5801.0
223,5842.0
224,5918.0
225,5983.0
226,6034.0
227,6124.0
228,6232.0
229,6260.0
230,6323.0
231,6356.0
232,6441.0
233,6482.0
234,6459.0
235,6475.0
236,6529.0
237,6519.0
238,6526.0
239,6557.0
240,6594.0
241,6570.0
242,6566.0
243,6589.0
244,6559.0
245,6517.0
246,6498.0
247,6430.0
248,6376.0
249,6310.0
250,6232.0
251,6155.0
252,6037.0
253,5942.0
254,5836.0
255,5747.0
256,5634.0
257,5521.0
258,5396.0
259,5233.0
260,5110.0
261,4963.0
262,4807.0
263,4669.0
264,4508.0
265,4388.0
266,4257.0
267,4153.0
268,4016.0
269,3859.0
270,3739.0
271,3637.0
272,3507.0
273,3390.0
274,3239.0
275,3078.0
276,2962.0
277,2862.0
278,2736.0
279,2624.0
280,2530.0
281,2433.0
282,2328.0
283,2219.0
284,2139.0
285,2063.0
286,1979.0
287,1892.0
288,1819.0
289,1731.0
290,1642.0
291,1577.0
292,1494.0
293,1427.0
294,1378.0
295,1347.0
296,1307.0
297,1235.0
298,1179.0
299,1113.0
300,1067.0
301,1032.0
302,981.0
303,932.0
304,876.0
305,824.0
