,mobility
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,-0.0436877025562212
8,-0.0436877025562212
9,-0.0436877025562212
10,-0.0436877025562212
11,-0.0436877025562212
12,-0.0436877025562212
13,-0.0436877025562212
14,-0.142183890633573
15,-0.142183890633573
16,-0.142183890633573
17,-0.142183890633573
18,-0.142183890633573
19,-0.142183890633573
20,-0.142183890633573
21,-0.414264196497882
22,-0.414264196497882
23,-0.414264196497882
24,-0.414264196497882
25,-0.414264196497882
26,-0.414264196497882
27,-0.414264196497882
28,-0.490226517606742
29,-0.490226517606742
30,-0.490226517606742
31,-0.490226517606742
32,-0.490226517606742
33,-0.490226517606742
34,-0.490226517606742
35,-0.520691444229291
36,-0.520691444229291
37,-0.520691444229291
38,-0.520691444229291
39,-0.520691444229291
40,-0.520691444229291
41,-0.520691444229291
42,-0.601104998394856
43,-0.601104998394856
44,-0.601104998394856
45,-0.601104998394856
46,-0.601104998394856
47,-0.601104998394856
48,-0.601104998394856
49,-0.565468289968282
50,-0.565468289968282
51,-0.565468289968282
52,-0.565468289968282
53,-0.565468289968282
54,-0.565468289968282
55,-0.565468289968282
56,-0.500887028474234
57,-0.500887028474234
58,-0.500887028474234
59,-0.500887028474234
60,-0.500887028474234
61,-0.500887028474234
62,-0.500887028474234
63,-0.533539503417897
64,-0.533539503417897
65,-0.533539503417897
66,-0.533539503417897
67,-0.533539503417897
68,-0.533539503417897
69,-0.533539503417897
70,-0.489363271950639
71,-0.489363271950639
72,-0.489363271950639
73,-0.489363271950639
74,-0.489363271950639
75,-0.489363271950639
76,-0.489363271950639
77,-0.479732407975015
78,-0.479732407975015
79,-0.479732407975015
80,-0.479732407975015
81,-0.479732407975015
82,-0.479732407975015
83,-0.479732407975015
84,-0.525650201055078
85,-0.525650201055078
86,-0.525650201055078
87,-0.525650201055078
88,-0.525650201055078
89,-0.525650201055078
90,-0.525650201055078
91,-0.4254
92,-0.4254
93,-0.4254
94,-0.4254
95,-0.4254
96,-0.4254
97,-0.4254
98,-0.4325
99,-0.4325
100,-0.4325
101,-0.4325
102,-0.4325
103,-0.4325
104,-0.4325
105,-0.394
106,-0.394
107,-0.394
108,-0.394
109,-0.394
110,-0.394
111,-0.394
112,-0.53
113,-0.53
114,-0.53
115,-0.53
116,-0.53
117,-0.53
118,-0.53
119,-0.47
120,-0.47
121,-0.47
